frame,time_s,ball_x,ball_y,ball_w,ball_h,cross_x,cross_y
650,10.833,1273,681,22,60,1280,720
651,10.85,1272,681,22,60,1280,720
652,10.867,1272,681,22,60,1280,720
653,10.883,1272,682,22,60,1280,720
654,10.9,1270,684,22,60,1280,720
655,10.917,1271,684,22,60,1280,720
656,10.933,1271,686,22,60,1280,720
657,10.95,1273,686,22,60,1280,720
658,10.967,1274,687,22,60,1280,720
659,10.983,1275,688,22,60,1280,720
660,11.0,1275,689,22,60,1280,720
661,11.017,1275,689,22,60,1280,720
662,11.033,1274,690,22,60,1280,720
663,11.05,1273,691,22,60,1280,720
664,11.067,1271,691,22,60,1280,720
665,11.083,1272,691,22,60,1280,720
666,11.1,1272,691,22,60,1280,720
667,11.117,1272,691,22,60,1280,720
668,11.133,1272,691,22,60,1280,720
669,11.15,1272,691,22,60,1280,720
670,11.167,1271,690,22,60,1280,720
671,11.183,1272,690,22,60,1280,720
672,11.2,1272,690,22,60,1280,720
673,11.217,1274,690,22,60,1280,720
674,11.233,1277,690,22,60,1280,720
675,11.25,1278,689,22,60,1280,720
676,11.267,1278,689,22,60,1280,720
677,11.283,1279,689,22,60,1280,720
678,11.3,1279,688,22,60,1280,720
679,11.317,1278,687,22,60,1280,720
680,11.333,1279,687,22,60,1280,720
681,11.35,1280,687,22,60,1280,720
682,11.367,1282,687,22,60,1280,720
683,11.383,1283,688,22,60,1280,720
684,11.4,1282,687,22,60,1280,720
685,11.417,1280,687,22,60,1280,720
686,11.433,1279,688,22,60,1280,720
687,11.45,1277,688,22,60,1280,720
688,11.467,1276,688,22,60,1280,720
689,11.483,1274,689,22,60,1280,720
690,11.5,1275,691,22,60,1280,720
691,11.517,1276,691,22,60,1280,720
692,11.533,1276,692,22,60,1280,720
693,11.55,1278,693,22,60,1280,720
694,11.567,1279,694,22,60,1280,720
695,11.583,1280,695,22,60,1280,720
696,11.6,1282,696,22,60,1280,720
697,11.617,1285,697,22,60,1280,720
698,11.633,1288,698,22,60,1280,720
699,11.65,1292,698,22,60,1280,720
700,11.667,1295,699,22,59,1280,720
701,11.683,1297,699,22,59,1280,720
702,11.7,1297,700,22,59,1280,720
703,11.717,1296,700,22,59,1280,720
704,11.733,1294,700,22,59,1280,720
705,11.75,1292,699,22,59,1280,720
706,11.767,1289,699,22,59,1280,720
707,11.783,1286,697,22,59,1280,720
708,11.8,1282,697,22,59,1280,720
709,11.817,1277,696,22,59,1280,720
710,11.833,1272,694,22,59,1280,720
711,11.85,1268,694,22,59,1280,720
712,11.867,1264,694,22,59,1280,720
713,11.883,1262,695,22,59,1280,720
714,11.9,1262,696,22,60,1280,720
715,11.917,1262,699,22,60,1280,720
716,11.933,1263,702,22,60,1280,720
717,11.95,1264,704,22,60,1280,720
718,11.967,1265,706,22,60,1280,720
719,11.983,1265,708,22,60,1280,720
720,12.0,1266,710,22,60,1280,720
721,12.017,1266,711,22,60,1280,720
722,12.033,1266,713,22,60,1280,720
723,12.05,1266,714,22,60,1280,720
